friend_tagg_count,pid,comment_count,like_count,post_type,fid,created_time,message,share_count,label
7,143653685699398_1413802058684548,10,416,share,143653685699398,2017-03-16T16:34:44+0000,"中科商圈的粉絲們～伯朗先生來啦！
3/17～3/19  飲品買一送一
3/17～4/9  消費滿額還可獲得環保提袋
購買Lounge卡再送你飲品雙享券
（贈品數量有限，送完為止）",40,3
0,394413307347229_1180850318703520,1,47,photo,394413307347229,2017-03-15T09:32:20+0000,"#CZ最優惠~墨西哥早鳥優惠活動搶先報！
3/17~23期間購買台北 - 墨西哥城機票，
限時促銷價僅19200TWD起(未稅)，
領略包羅萬象的拉丁風情就趁現在！",4,3
454,143039229176602_827186614095190,600,50,photo,143039229176602,2017-06-16T04:00:00+0000,"【＃參加活動即有機會獲得照片中的獎品】
　
長榮樂e購為你提供快速又便捷的網路購物服務，有最受歡迎的長榮航空限量LOGO 商品、人氣Hello Kitty商品、機上嚴選及飛機模型，直接宅配到你家，讓你不用出國，在家也能買到機上商品。
　
即日起至6/18 23:59止，在以下留言分享樂e購連結並TAG三位您的旅遊好夥伴，並寫出「快上長榮樂e購一起來購物」小潔將隨機抽出八位幸運兒～～
EX:「＠潔弟、＠潔妹、＠潔寶，快上長榮樂e購 一起來購物」
　

#EVAAir #長榮樂e購 #暑假購物季",869,3
0,283161705067_10158554211560068,2,96,cover_photo,283161705067,2017-04-17T01:42:02+0000,"今年春天，想騎就騎
2017 單車購物節 即日起~5/31 

 🎉購買Liv品牌 $9,800以上車款，送Beliv潮T
 🎉 GIANT、Liv品牌商品配件88折
 🎉 CONDUCT改裝升級77折，再送運動排汗T (本活動為購買ANYROAD、INVITE、DEFY、AVAIL線控碟煞車主適用)

詳情請洽捷安特各門市~~~",18,3
534,100860886668027_1309076062513164,547,584,animated_image_share,100860886668027,2017-04-18T04:48:25+0000,"Sheraton Grand Taipei Hotel X Evian
【漫旅•泰藝】 好水抽獎聯名活動
2017年台北喜來登SUKHOTHAI和Evian一同攜手打造-喝好「水」品「泰」味！即日起至4月26日12:00 PM止，Tag一位好友並寫下最想品嘗本次SUKHOTHAI推出的主廚推薦菜色，按照下列步驟就有機會獲得evian x Christian Lacroix 2017特別版紀念瓶天然礦泉水乙組(500ml/6入)，共計抽出5位，另外再抽出3位粉絲贈送主廚精選泰式風味一人份套餐(價值TWD1,680/限內用)，邀您喝好「水」品「泰」味！
★Follow Steps★
Step1.➤按讚 + 公開分享貼文
Step2.➤貼文下方留言最想品嘗SUKHOTHAI推出的主廚推薦菜色
Step3.➤並Tag 1位好友一起參與【喝好「水」品「泰」味抽獎活動】
Ex.我最想要吃「脆炸果香石斑魚」@AMY和我一起來品嘗！",582,3
7,333338480975_10154628197450976,30,197,video_inline,333338480975,2017-06-27T04:30:00+0000,"◤按讚➕分享貼文收服可愛傑尼龜🏄◢
每到夏天我要去海邊～🌊海邊有個可愛傑尼龜🐢想過個不一樣的熱血夏天🔥，就和傑尼龜作伙去海邊吧～不論是要玩水、衝浪🏄，還是比誰游泳游得快，海上男子漢的傑尼龜可是會讓你佩服到五體投地哦！🙇
💫現在只要購買 EOS M10 迷你單眼相機套組，就可直接獲得限量版皮卡丘玩偶～讓你夏天樂翻天💫
　
🌟 攝影挑戰賽活動辦法 >> https://goo.gl/sch9No
🌟 EOS M10 促銷優惠 >> https://goo.gl/GYuFYB
　
💝精美好禮免費送💝
只要按讚➕分享貼文就有機會把傑尼龜玩偶帶回家～（共 2 名額）
　
#CanonTaiwan #SNAPSHOT #EOSM10 #EOSM #LPE12 #Pokémon #皮卡丘 #寶可夢 #原廠相機包 #玩具攝影 #帶著皮卡丘去探險 #傑尼龜 #海邊",52,3
25,177612180793_10154472075895794,416,552,photo,177612180793,2017-04-04T04:00:00+0000,"【ZenPad⭐每日一劇─食神】
 
❤大家想吃美食電影／影集中出現的什麼料理呢？
　4/7前留言，就有機會得到Zenny旅行組(市價$999)",272,3
80,272634789416198_1466475730032092,202,247,video_inline,272634789416198,2017-03-31T13:30:00+0000,"【Revlon 4重奏X 姐妹的草地音樂節🌺🌸】
　
🎁友情暖心抽🎁
小編想問各位粉絲：
請問你和好姐妹間最難忘的事是？
回答問題，就有機會將HD665絕色魅桃帶回家喔！
※請在FB本PO文下方留言　
※ 即日起至4/6中午12:00止
※ 小編將於4/7隨機抽出2位幸運得主，並留言處公布得獎名單
※ 得獎者請於得獎公告後2天內提供贈獎資料
※ Revlon Taiwan保留活動變更與修改之權利",82,3
0,108254199198010_1439690946054322,1,202,photo,108254199198010,2017-05-28T04:10:00+0000,"🎁海洋元素本期好禮一次看🎁
初夏超好康！買大送小再送好禮任選！
呼聲最高的「雲彩海洋旅行4件組」除了最經典的海洋旅行組外，還有隨身噴霧水壺！輕壓就可噴出保濕水霧，立即消暑降溫！
海洋元素優惠中，買一即享免運>> https://goo.gl/cnqrOX",38,3
265,442235892477072_1472125286154789,287,3674,video_direct_response,442235892477072,2017-04-01T03:00:00+0000,"【沙宣 x 全民挺GD活動！】
沙宣代言人G-Dragon引爆潮流話題，再創話題熱度新顛峰！
4/30前至Pchome 購買沙宣全系列商品滿499，就有機會獲得G-Dragon潮品
數量有限，要搶要快 >> https://goo.gl/mPFGnk
<搶GD三重抽>
1. 買沙宣商品滿$499！就抽GD人形立牌(5名)、托特包(10名)、海報(20名)
> https://goo.gl/mPFGnk
2. 購買新品任一組合，即贈GD海報(限量80名)
> https://goo.gl/1CzuzK
> https://goo.gl/Bs4LZF
3. 購買GD四入組，即贈GD托特包(限量70個)
> https://goo.gl/Eihevc",149,3
