pid,label,friend_tagg_count,comment_count,like_count,post_type,fid,created_time,message,share_count
210121695693833_1425431174162873,1,0,0,44,photo,210121695693833,2017-05-20T10:00:00+0000,"<< 吃。飯。啦 >>

晚餐覓食3步驟
1. 印出 #中信ATM酷碰
2. 找出最近門市 ▶ http://www.donmono.com.tw
3. 享受香噴噴牛丼 + 卡滋卡滋豬排😋😋

鮮五丼：招牌牛丼+咖哩雪花豬排丼+泡菜牛蒡絲+黃金脆薯+2杯杯裝飲料，特價289元(原價383元)

 🉐任一銀行金融卡都可A好康 ▶ http://bit.ly/13BvhJd
#中信方便家 #中信ATM酷碰 #鮮五丼
#小編肚子咕嚕咕嚕",4
108254199198010_327174721046434,0,95,101,1541,video_direct_response,108254199198010,2017-06-26T10:00:00+0000,"少女心大！噴！發！Hello Kitty萌到爆表❤❤贈品開箱影片完整公開！
搶贈品點這>> https://goo.gl/dzH5Kf
#雅芳 #AVON #新活恆白 #送HelloKitty",222
247279973061_10154371188943062,0,0,0,28,photo,247279973061,2017-03-23T12:52:00+0000,"【 #日立冷氣 #一起愛地球 】
每天沒買一杯手搖飲料就渾身不對勁💦💦💦
台灣是手搖飲大國，產生的吸管、塑膠杯、塑膠袋等一次性垃圾數量也非常驚人。
從今天開始自備環保杯吧！很多手搖飲料店都有提供自備環保杯的折價優惠，幫助垃圾減量的同時還很時尚唷👍",1
164709646910260_1318539138193966,0,1,14,914,photo,164709646910260,2017-04-22T09:26:00+0000,"#世界地球日 身為全球手機產業創新與設計領導者，HTC明白只要能減少手機製造過程中對環境的影響，就能跟廣大的消費者一起，為地球環境作出貢獻 ！ 
也因此，HTC提出「永續議程」概念，將環境永續理念化為行動，致力於掌控及減少營運對自然環境所造成的影響！

你今天也做了什麼愛地球的行動呢？ 
分享給大家知道吧！

http://www.htc.com/tw/csr/sustainability-agenda/",17
1150749768293001_1434841453217163,1,1,8,64,photo,1150749768293001,2017-03-17T10:02:19+0000,"【🔔日本銷售NO.1 Ariel全聯特價$149】
許多粉絲都說用過Ariel洗衣精就回不去了，現在全聯也有優惠囉! 👏
即日起~4/6，Ariel超濃縮抗菌洗衣精(1kg) 只要$149，快跟小編一起囤貨吧!!!

#ARIEL #50倍抗菌 #日本銷售冠軍 #洗衣科學",4
354389870307_10154348222795308,0,0,2,111,photo,354389870307,2017-05-19T00:30:01+0000,"【累積飛行里數】

大家都知道累積里數、用里數兌換機票及住宿的好處。但是要怎麼樣才能累積飛行里數？在訂位時，會員就可以將自己的會籍號碼輸入在訂位紀錄中，於機場辦理報到手續、或托運行李時，可以請地勤人員再次確認、或是補上會籍號碼，這樣起飛時就可以開始順利累積飛行里數了。
 
申辦會籍：http://asiamil.es/1feQbIP",7
1025203670852550_1521165057923073,0,3,4,0,photo,1025203670852550,2017-06-16T12:00:00+0000,"❤ 妙招寵寶貝❤一次搞懂 新生兒夏天怎麼穿才是最好

寶寶的體溫調節系統還沒發育成熟時，悶熱的夏天容易悶出一身汗，體溫也跟著升高，讓媽咪們好擔心～到底越來越炎熱的夏天，該怎麼幫新生兒穿衣才是剛剛好呢？流汗和長痱子又該如何照護？寶寶是否需戴墨鏡，以防紫外線傷害眼睛呢?

👉看小兒專科張璽醫師的分享→https://goo.gl/CXPR7j
👉看完專業分享後，爸比媽咪還想知道甚麼寶寶照護小妙招嗎？快快留言跟妙妙兔說吧！

#妙而舒 #Merries #妙招寵寶貝",0
223623887656120_1544846472200515,0,0,3,427,photo,223623887656120,2017-05-11T13:00:00+0000,"#ThrowbackThursdaywithAudi
Audi百年造車工藝，完美體現在Audi A5身上，
上一代的A5 Coupe獲得德國“設計奧斯卡”大獎
之稱的「2010 Design Award」。
而全新世代的Audi A5 Coupé，
更是榮獲2016年歐洲金舵獎「最佳轎跑車」獎項，
和Euro NCAP 撞擊測試5星頂級安全殊榮！
#AudiA5的設計與安全世界有目共睹",9
180390341995122_1785367504830723,0,0,0,13,share,180390341995122,2017-05-04T12:35:00+0000,"分析了來自上百萬旅客評語中的 1 億 4 千 8 百萬個句子，
我們發現了完美的飯店方程式！
F25 + C35 + B10 + P2 + Q + Br + D7 + S + W + ½H = 完美飯店
看起來超複雜有沒有？😆
其實很簡單啦！
點這裡就可以解開完美飯店的秘密 👇
http://bit.ly/2pzAANy

#飯店專家",0
333109469102_10154433321494103,1,6,13,421,photo,333109469102,2017-03-24T10:00:00+0000,"☔ \\下雨不愁// 摩登樂遊傘 送給你！
📣CLUB TIMBERLAND會員FINAL CALL
即日起~3/28止，金綠卡友獨享，單筆滿萬就送「砰然」開啟摩登樂遊自動傘!

-限金綠卡友獨享
-數量有限，送完為止

#明天下雨天 #傘面超大下雨不怕 #MadeForTheModernTrail #TimberlandTW",5
1398100367093685_1899586590278391,0,1,1,692,photo,1398100367093685,2017-03-31T11:00:05+0000,Dinky手袋揉合波希米亞風格及輕快搖曳麂皮流蘇，打造自由灑脫的浪漫風尚。瀏覽Dinky手袋系列商品 http://bit.ly/2ooyfT2,6
442235892477072_1472077159492935,1,12,21,907,video_direct_response,442235892477072,2017-04-03T02:00:00+0000,"【G-Dragon百變演釋！全新GD時尚演繹限量版輕盈登場】
GD造型百變，舞台魅力爆發，怎麼可以被黏膩感拖垮？
沙宣零感輕盈洗潤系列，0矽靈配方，同時深層清潔+修護
讓秀髮零感輕盈，注入時尚活力！
【📢抽GD潮品】購買沙宣全系列商品滿$499，加抽GD人形立牌(5名)、托特包(10名)、海報(20名)
#沙宣 #全新0矽靈輕盈洗潤系列 #GD時尚演繹限量版 #沙宣XGDragon #BreaktheRules #GDRAGON #權志龍 #TWVIP",30
163584773850525_651965441679120,1,1,9,39,photo,163584773850525,2017-05-20T04:00:00+0000,"【Bosch@Now】Bosch 活動中獎公佈 快看你是不是就是那位幸運兒！

． Bosch 幸福時刻 送馬克杯組（5名）
周O莉
LOOu WOOg
VOOOy FOn 
鄭O渝
許O珊

． Bosch 幸福時刻 送Le Creuset 24cm 鑄鐵鍋（1名）
WOn LOOg LOn

． Bosch 幸福時刻 送WMF 壓力鍋（1名）
米O可

． 王安琪老師 Live直播分享 送「新書【打發，基礎的基礎】」(3名)
張O容
EOOOe SOOn
TOOcOOOg COOn

主辦單位將於5/22(一)聯繫得獎者，得獎者需在5/26(五)中午12:30前以 FB 私訊方式回覆領獎所需資訊，包括真實姓名、電話、mail及郵寄地址。期限內未傳送所需資料或傳送資料有誤、不完整，則視同放棄得獎權利喔！",2
398020373782_10155295117903783,1,5,17,5576,photo,398020373782,2017-05-03T10:00:00+0000,"立刻尋找--附近指定販售Premium熱炒店!
購買4瓶Premium極賞啤酒，
透過台啤促銷小姐，即可獲得【極賞刮刮卡】!
大阪來回機票、新潮公路車等大獎盡藏在酒杯中!

詳細活動辦法: https://goo.gl/p4J8UI

※本活動由台啤促銷小姐執行，派駐時段以現場安排為主。
#台灣啤酒 #PREMIUM極賞啤酒 #春有極賞出遊大阪
（台灣啤酒提醒您 酒後不開車 未成年請勿飲酒）",47
