fid,fb_certificate,like_avg_count,comment_avg_count,share_avg_count,friendtag_avg_count,class1_post_count,class2_post_count,class3_post_count,total_post_count,start_fans,stop_fans,fan_growth_rate
100489613340306,0,48.33333333,2,3.666666667,1,2,0,1,3,14132,14688,0.039343334
304834096975,2,71,12,3,21,0,2,2,4,22033220,22576116,0.024639885
114348401956305,0,32.25,4.25,16,0.25,2,2,0,4,1312,1435,0.09375
143322382408914,0,2854.2,153.4,0.4,38.4,2,2,1,5,42701,42623,-0.001826655
245293232158826,2,36.2,3,9.8,0.8,0,5,0,5,13151909,13291221,0.010592531
333338480975,0,2526,8.2,23.2,2.4,3,1,1,5,54023,54611,0.010884253
172489456479180,0,142.6,1.8,2,0,3,0,2,5,66132,65959,-0.00261598
128163407194193,2,8.857142857,0.857142857,1.714285714,0,4,1,2,7,6665512,6698057,0.004882596
427298164109099,2,1516.428571,34.85714286,423,3.142857143,4,1,2,7,74822,74903,0.001082569
1664672000429430,0,15.85714286,1,0.571428571,0,1,2,4,7,59689,59951,0.004389418
273328850292,1,22.85714286,0.857142857,0.428571429,0,1,2,4,7,9970,10451,0.048244734
128532197277812,0,8.75,0.375,1.125,0.375,3,4,1,8,5058,5201,0.028272044
384832144896183,0,125.375,4,4.125,0.375,0,3,5,8,22642,22877,0.010378942
115190888805,0,13.25,0.5,0.625,0.125,1,1,6,8,22962,22950,-0.000522603
263705449348,2,730.7777778,73.88888889,377,30,0,9,0,9,62027,62691,0.010705016
269986596535,2,2635,71.44444444,94.55555556,2.888888889,7,0,2,9,5518478,7056886,0.278773966
451205008263145,2,12.11111111,0.555555556,1.666666667,0,4,4,1,9,1365097,1373249,0.005971737
196088173768858,2,11.9,0.2,0.8,0,2,6,2,10,6853327,6991450,0.020154153
101615286547831,0,333,318.5,212.5,640.8,4,0,6,10,26325,26207,-0.004482431
233718966815657,2,705.5454545,51,29.90909091,7.272727273,1,9,1,11,35769,36561,0.022142078
247279973061,2,1020.538462,10.76923077,47,4.076923077,6,6,1,13,413110,427342,0.034450873
110532347014,2,2973.769231,336.2307692,255.4615385,182.3076923,6,1,6,13,8225939,8213290,-0.001537697
167943236729,0,3997.769231,71.53846154,312.1538462,64.30769231,1,4,8,13,4671,6387,0.367373154
156711121097246,2,891.5714286,169,104.8571429,21.21428571,5,5,4,14,20588246,20640397,0.002533047
124566150889508,0,33.28571429,0.785714286,3.142857143,0.071428571,1,6,7,14,8529,8671,0.01664908
1386160451598060,0,145.3571429,2.785714286,6.071428571,0.285714286,5,5,4,14,105110,104914,-0.001864713
131307770301236,0,253.8571429,9.642857143,27.57142857,6.928571429,6,5,3,14,46090,46603,0.011130397
608262145912469,2,1132.333333,42.2,87.33333333,8.066666667,1,5,9,15,7338841,7443412,0.01424898
445727812160253,2,324.75,39,21.0625,3.9375,0,8,8,16,6897944,7059571,0.023431185
236566913032279,2,748.0625,185.5,181.5625,423.6875,0,1,15,16,82867,84591,0.020804422
270750529766166,2,300.25,97.3125,86.9375,180.3125,9,3,4,16,1567645,1584870,0.010987819
141474902543142,2,5059.25,150.875,81.6875,83.75,0,8,8,16,67735,68448,0.010526316
428068243899019,0,116.125,67.0625,16.1875,61.5,6,0,10,16,102713,103025,0.00303759
204215356271305,0,258.2777778,1.5,7.777777778,0.111111111,11,3,4,18,15960,16152,0.012030075
145649977189,2,511,141.6842105,114.8421053,198,3,6,10,19,6429678,6491775,0.009657871
216988328448158,2,264.7,153.15,74.6,119.2,3,1,16,20,8347228,8594977,0.029680392
127607240588402,2,813.952381,190.9047619,138.2380952,365.7142857,1,0,20,21,44118,46767,0.06004352
